Prefecture,Density
東京都,6354.79
大阪府,4631.03
神奈川県,3807.54
埼玉県,1932.02
愛知県,1460.04
千葉県,1217.43
福岡県,1024.79
兵庫県,650.36
沖縄県,637.52
京都府,560.07
香川県,509.42
茨城県,470.37
静岡県,467.93
奈良県,360.70
滋賀県,351.96
佐賀県,333.60
広島県,331.14
長崎県,320.80
宮城県,316.27
三重県,308.21
群馬県,304.55
栃木県,303.10
石川県,271.66
岡山県,265.85
富山県,245.55
愛媛県,235.87
熊本県,235.74
山口県,221.76
和歌山県,195.51
岐阜県,187.26
福井県,183.21
山梨県,181.86
大分県,178.91
新潟県,176.57
徳島県,175.71
鹿児島県,174.16
鳥取県,158.44
長野県,151.09
宮崎県,138.59
福島県,134.07
青森県,129.19
山形県,115.53
島根県,100.46
高知県,98.21
秋田県,83.00
岩手県,80.29
北海道,66.93
